Group	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15	SP16	SP17	SP18	SP19	SP20	SP21	SP22	SP23	SP24	SP25	SP26	SP27
CRC	4.48E-05	1.79E-05	0	0	6.90E-06	0	2.28E-05	3.02E-05	5.15E-06	8.84E-05	0.000369386	7.21E-05	8.50E-05	0.003794074	6.25E-05	1.50E-05	0.011709755	8.18E-05	0	8.28E-05	4.05E-05	0	2.96E-05	0.020814198	4.64E-05	4.58E-06	5.55E-06
CRC	2.63E-05	1.98E-06	0.000109247	1.44E-05	6.72E-05	0	5.59E-06	0.020937666	0.004031319	0.027512731	0.013634767	0.086982373	0.018059273	0.000442763	3.53E-05	0.00766474	0.003239825	0.00162029	5.61E-05	0.004886659	0.005801288	0.000122526	3.86E-05	3.95E-05	0.001342467	0.006387576	0.001627332
CRC	0	2.40E-05	0	0	9.37E-06	0	0.010032224	0.005549938	0.002597835	0.000121304	0.021078897	0.000212719	0.002672072	0.004370703	0.016473674	0.001199721	0.000210493	0.000549737	0.043080423	0.00149802	0.007945217	0.009858406	0.102592442	0.000659053	0.000131765	0.001586339	0.001679956
CRC	0	0	0	0	1.09E-05	7.62E-06	4.81E-06	0.041530447	0.020203574	0	0.026048156	1.78E-05	0.041927303	0.001226021	1.40E-05	0.022870514	0	0.008916936	0.002021766	0.0030756	0.019189815	0.002664689	0	0.038352393	0.002527366	0.005779319	0.014129788
CRC	0	0	9.23E-05	1.13E-05	0.000582561	0	0.011905113	0.016117168	0.000859703	0.00059147	0.023561047	0.034953165	0.009964097	0.002429611	6.87E-05	0.008550676	0.004309414	3.15E-06	0.000452318	0.04839084	0.002050121	3.13E-06	0.000103163	0.000724188	0.003468781	1.35E-05	0.001792852
CRC	0	0	7.75E-06	2.87E-05	0.002746616	0.005133611	2.32E-06	2.90E-05	2.07E-06	0.000196372	0.093258693	5.85E-05	0.155112924	3.89E-05	0	1.55E-05	0.000285479	0.030358793	1.13E-05	0.076119518	0.002149624	0.000137389	2.10E-06	0.00090799	0.001373176	0.000137814	0.000107978
CRC	0.00061659	0.000405554	0.008438006	0.000831204	0	6.63E-05	0	0.001712457	0.002008838	2.24E-05	0.015831346	0.029944582	0.016166179	0.00055486	2.38E-06	0.00275905	0.002583243	0.003132434	0.072795771	0.002977914	0.002794933	0.006436846	0	0.016911791	0.000469959	0.002026974	0.000424904
CRC	1.48E-05	1.54E-05	0.00058775	0	0.000238203	0	0.007773353	0.004028982	0.000410182	0.001043325	0.00270615	0.000251924	0.00054387	0.014580668	0.014727945	0.000318592	0.285731881	0.003766389	0	0.000318065	0.057535081	0.000207218	5.80E-05	0.019546519	0.02122067	0.000813152	0.029878122
CRC	0.000215226	8.57E-05	0.003508454	6.21E-05	5.70E-06	0	0.015783149	0.010332939	0.002102159	0.006820075	0.013887701	0.000215351	0.002880461	0.000198076	0.025485324	0.000922299	0.00046625	0.00624093	0.011117759	0.001885684	0.004250053	4.99E-06	0.008122257	5.89E-05	0.000550153	0.000173505	0.000793985
CRC	6.39E-06	0.000390456	0.001328432	0.002240953	0	0	0.002250752	0.007411994	0.001236001	0.000233759	0.01955913	0.009723112	0.003863881	2.08E-05	0	0.007781942	0.005174077	0.009788859	0.039183628	0.002526033	0.004247228	0.006524628	0.042218676	0.006343758	0.000541515	0.0003665	0.000623146
CRC	2.48E-05	5.78E-05	0.00026357	0	0.002609855	0	0.026263382	0.000628656	0.000269396	0.004826264	0.141670916	2.75E-05	0.019290428	0.001417533	0.129138647	9.02E-05	0.00010405	9.92E-05	1.95E-05	0.005946903	0.004916799	0.003073718	0	0.028871885	0.000383459	0	0.004164577
CRC	0	0	0	0	1.27E-05	0	0	0.017792682	0.003950795	0.000678552	0.053422704	0.090183644	0.060980281	0.057795893	2.57E-06	0.029394682	1.49E-06	0.01013027	0.015012648	0.002617014	0.020529739	3.35E-05	0.000204319	0.000360781	7.95E-06	0.00011243	0.000152903
CRC	0	0	1.13E-05	0	0.001350836	0	0	0.023157065	0.027278901	0.001264126	0.029282377	1.37E-05	0.04609652	3.44E-05	4.82E-06	1.20E-05	0.037630655	0.033171917	0	0.005866094	3.89E-05	2.89E-05	0	2.72E-05	0.02760273	0.036392578	0.000108881
CRC	0	0	0	2.60E-06	2.84E-05	0	0	0.000577679	5.77E-05	7.68E-06	0.086919551	0.011655738	0.023732917	0.00552726	3.83E-05	0.001223724	0.000826185	0.03688828	0.001131139	0.004518661	0.001067723	0.019246107	0	0.00146839	0.002791621	0.001524521	0.009274633
CRC	0	0	0	4.59E-05	0	0	0	4.39E-05	0.00070435	0	0.03713958	0.00225628	0.058338904	0.000290946	0.000557586	0.000111568	0.158909665	0.001625789	0.000776343	0.014792026	0.001551487	0.000152287	0	5.20E-05	0.014289739	0.02440021	0.004035922
CRC	0	0	0	0	0.001516084	9.70E-05	0	2.51E-05	7.99E-05	0.000528402	0.046189561	0.078581825	0.086907988	0.000193823	5.88E-05	0.002810602	0.01726292	0.006157484	6.72E-06	1.94E-05	2.12E-05	2.01E-05	0	0.000340598	0.035523191	3.94E-06	4.95E-05
CRC	0	0	0	0	0	0	0	0.009767858	0.000334556	0.000790362	0.358985374	0.000700994	0.102299505	0.019843748	9.08E-05	0.008968754	0.000811448	0.00019153	0	9.99E-05	7.02E-05	4.43E-05	0	0.000162164	0.058388474	0.013034878	0.023918232
CRC	0	0	1.14E-05	0	3.07E-05	0	0	0.009480321	0.001191173	0.000675923	0.028691575	0.033863845	0.045651489	0.006180851	0	0.033633114	0.001123516	0.012970808	0.029615806	0.009248134	0.00638376	0.002097053	5.03E-05	0.001510787	0.006769858	0.012761145	0.003917789
CRC	0	0	1.26E-05	0	1.61E-05	0	0	0.009962593	0.002918984	0.000254014	0.035014155	0.000762298	0.016744189	0.042233058	0	0.027502001	5.06E-05	6.63E-05	2.13E-05	0.003653366	0.003871255	0.015520099	0	0.000300293	0.003895224	0.000345277	0.031619614
CRC	0	0	1.40E-05	0	0.004154779	0	0	0.03297698	0.004468795	0.003125902	0.087838506	0	0.019465889	7.65E-06	0	0.018543925	0	0.020141652	0	0.049912008	0.000680915	0	0	0.012842492	0.005484849	0	0.037871084
CRC	0	0	0.000298581	0	0.000604073	3.80E-05	1.53E-05	0.028414607	0.013218682	0.001553726	0.090793309	0.000229291	0.121001044	0.0265482	6.60E-05	0.029117172	0.010720109	0.038264723	0.0004331	0.02233003	0.000305987	0.00010425	0.000777574	0.009265144	0.008047471	0.005008741	0.072293404
CRC	0.000180961	0.000176839	0.000901273	1.05E-05	4.76E-06	0	0.000974062	0.003042517	0.00030991	1.65E-05	0.051050524	0.000357977	0.007313616	0.002546979	0.010401918	0.001592626	0.001088556	0.011264287	0.014270448	0.009841208	0.004709995	0.001349898	8.81E-05	0.005650427	0.009937857	0.005152948	0.00773303
CRC	0.000436511	9.13E-05	0	0	0.000582223	0	0	0.003346176	0.001188597	0.002663735	0.016769223	0.05933745	0.00651244	0.009041655	0	0.027675873	0.000281573	0.000238612	0.033100482	0.001133662	0.000305909	0.000318425	0	0.008951162	0.001830492	0.013443234	0.001294413
CRC	0	0	8.14E-06	6.28E-05	3.56E-05	6.65E-06	4.29E-05	0.00990703	0.002375885	0.000127833	0.01722962	0.049398097	0.018804009	0.010385276	0.008268713	0.006129636	0.015212499	0.016227915	0.025014028	0.002528215	0.008275403	0.008413788	8.63E-06	0.018564557	0.002648571	0.000349836	0.002523941
CRC	0.000961517	0.00094147	0.004714314	0.004423036	8.01E-05	0	0.002793081	0.00071803	0.000207637	0.003030259	0.005812577	0.00467693	0.004597082	0.025805916	0.015052995	0.000370652	0.003356558	0.001672584	0.001614739	0.000726825	0.000597262	0.029222487	4.62E-05	0.015404805	0.005000471	0.000173553	6.02E-05
CRC	0	7.21E-06	3.44E-05	0	0	0	0	0.051193102	0.019444737	1.11E-05	0.00064398	0.002878159	0.00028339	0.000965231	0	0.050785503	6.39E-05	0.000170169	0.016904648	0.000144464	7.29E-05	0.008723795	9.11E-06	0.00374555	0.00014143	0.010525899	0.000659698
CRC	0.000292183	1.40E-05	0.00050285	0.002647373	0	6.68E-06	0.009490063	0.009312439	0.004221438	0.001289291	0.028554986	0.000873752	0.003283954	0.035723641	0.063857041	0.00334456	0.09940238	0.000517024	0.000149479	0.004906185	0.016424321	0.006221298	0.000321421	0.000133688	0.001781255	9.94E-05	0.001474758
CRC	0	4.85E-06	3.49E-05	0	0	0	0	0.008135629	0.000427691	2.78E-05	0.022529795	0.019636511	0.016257683	0.001229237	4.43E-06	0.003704351	0.006859066	0.010831736	0.010831754	0.002964003	0.003653869	0.029825544	0.000113627	0.000318855	0.006434758	0.000416595	0.002302226
CRC	0	0	1.27E-05	0	0	3.27E-06	0	0.01581559	0.001313856	0.000156177	0.127151276	7.56E-06	0.007885225	0.000153284	1.83E-05	0.009578852	0.027951013	0.035984526	0.013617865	0.012744141	0.005608404	0.007678049	0	0.009061158	0.003702416	0	0.000288555
CRC	9.10E-05	0	0.033490639	0	3.99E-05	0	0.012028196	0.000986371	0.000338078	0.000188485	0.088686427	0	0.002250408	0.000470697	0.001922879	0.000179358	0.003947945	0.000895835	0	0.005849661	0.007627043	0	0	0.070412332	1.03E-05	0.000273242	0.006372831
CRC	1.12E-06	2.25E-06	0.000406916	0	8.09E-05	0	0.01322573	0.004676131	0.000326241	1.99E-05	0.057113491	1.02E-05	0.189803034	0.060950858	1.24E-05	0.000276306	0	0.030592574	2.98E-06	0.015302701	0.007394789	0.001803459	0	0.028915787	0.000419438	0.00118716	0.000503209
CRC	0	0	0	0	0.001582286	0	0	0.000604765	0.00045549	0.000168663	0.169322339	0.0024459	0.000501806	0.00302292	0.001763185	0.000728425	0.02794625	0.015405168	0	0.009612614	0.000284304	0	1.61E-05	1.65E-05	0.072686228	0.004902673	0.000265855
CRC	0	6.76E-06	0.002045821	0	0.000141067	0	0	0.029582097	0.002780057	0.000122906	0.033040679	0.066308445	2.58E-05	0.046554765	3.32E-06	0.011959566	0.006419048	1.31E-05	6.46E-06	0.048890036	0.005446124	0.000248706	4.38E-06	0.001376455	4.07E-06	2.44E-06	0.013915809
CRC	0	0	0	0	8.39E-06	0	0.003967929	0.004877098	0.001044094	0.000731639	0.010008648	7.68E-05	0.008630642	0.006994896	0.065861669	0.000649546	0.00106762	0.000233926	2.27E-05	0.004372121	0.011945768	0.001535186	0.00237179	0.000255874	0.001930793	0.000205372	0.001732461
CRC	0	0	0	0	1.89E-05	8.16E-06	0	0.001586101	0.000434666	5.91E-05	0.00696723	0.00862258	0.001543199	0.007452145	0.000128742	0.000135799	0.000936048	0.014604689	0.008250642	0.00069623	0.016338721	0.013109354	0	0.010298642	0.000175464	0.001078154	0.002060993
CRC	4.54E-05	6.12E-05	1.59E-05	0	3.32E-05	0.000126588	0	0.024314286	0.003507015	0.000251509	0.047596902	0.038615386	0.002963172	0.000268061	2.55E-06	0.011322658	0.003504618	0.009497505	0.024831019	0.001265707	0.020267772	0.004294162	0	0.005645445	0.000937964	0	0.012874485
CRC	0	0	3.48E-05	0	0	0	0	0.023675936	0.032815381	0.003085222	0.009277622	0.052261236	0.002441368	0.085454314	9.42E-06	0.026294738	6.39E-05	2.43E-05	1.49E-05	0.000382016	0.015399766	0.006024708	0	0.013824003	0.002151628	0.011267151	0.001172373
CRC	0	0	0	0	0	0	2.46E-05	0.001218914	0.000673766	0.000145526	0.026282717	0.002662067	0.051579749	0.003733912	0.00016098	0.000438279	0.002305922	0.036316438	0.000189275	0.000634802	0.081612034	0.003597138	7.31E-06	0.000747941	0.016137616	0.007093655	0.013564712
CRC	1.55E-05	0	0.000826557	4.99E-05	0	0	0.001268917	0.006442784	0.007917404	0.000236904	0.006109986	9.57E-05	0.000877042	0.022227882	0.1978059	0.00071346	0.00167137	0.000290249	0.000735912	0.004965633	0.004775261	0.001291572	0	0.004099287	0.000260453	0.001219738	0.009335522
CRC	0	0	0	0	0.005265371	0	1.21E-05	0	0	3.54E-05	0.118775999	0.058302862	0.081348577	8.46E-06	1.27E-05	0	0.021694861	0	6.28E-06	0.098950975	5.89E-05	1.50E-05	0	0.026220602	0.106939308	0	5.01E-06
CRC	0.000181934	8.45E-06	6.93E-06	2.41E-06	0	0	0	0.001802163	0.002897568	0.002925678	0.033735688	0.01772108	0.073684556	0.001587084	0.007014593	0.000525977	0.000744418	0.000872508	0.045892962	0.005338188	0.002139089	0.003603948	0	0.020692831	0.000215739	1.51E-05	0.000176487
CRC	0	0	0	0.00036581	1.79E-05	1.70E-05	0	7.69E-05	4.82E-05	1.49E-05	0.000537175	0.000467374	0.003597632	0.000963212	0	0	0.028452563	0.01290629	4.44E-05	0.003033116	0.031429004	0	0	0.000170375	0.000338683	6.04E-05	0.002754698
CRC	2.88E-05	0	9.10E-05	0	0.001260263	9.73E-05	0	0.001129321	0.003349041	0.000149255	0.067102197	0.003185706	0.033605959	7.50E-05	4.06E-05	0.002003891	0.001950988	0.051130742	0	0.03786084	0.002517294	0.000185103	9.67E-06	0.025166739	0.000539249	0.002063949	9.88E-05
CRC	0	0	0	0	0.000926493	0	0.008061903	0.020827124	0.000773551	0.000340645	0.071589774	0.046840371	0.114805556	0.000738631	0	0.002365018	2.89E-06	0.006842226	0	0.004827608	0.001135382	3.03E-05	4.16E-06	0.039571085	0.082297133	1.88E-05	0.000322044
CRC	1.06E-05	0	1.15E-05	0.001472412	0.000215304	0	9.06E-06	0.001015488	0.000185646	0.006809785	0.07715048	0.001712211	0.039203283	4.72E-05	0.027977005	0.003705341	0.002511195	0.040765411	2.71E-05	0.013130474	0.028414989	0.011293522	0	0.011579833	0.002305663	0	0.022202446
CRC	0	0	0.000200159	0	0	6.89E-05	0.004957015	0.008007591	0.000816264	0.003302654	0.012250079	4.22E-05	0.026124455	3.45E-05	0.016879908	0.003018317	0.016387425	0.017799178	0.000352727	0.047284044	0.005562411	1.26E-05	0	9.03E-06	0.000210499	4.63E-06	0.008603515
CRC	0	0	0	0	0	7.46E-06	0	0.005438107	0.010865659	5.55E-05	0.017959028	0.017805158	0.027558953	5.60E-05	0.053366268	0.008940573	7.93E-05	0.006043276	2.70E-05	0.004079312	0.004304481	0.017438302	2.10E-06	1.59E-05	0.000921284	0.011307667	0.002348433
